"Table 1: E-cigarette use, by sex and age, England, 2014 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains three tables presented underneath each other with one blank row in between. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the 'Notes' worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Given the changes to the collection of e-cigarette use in both 2018 and 2020, we have provided the data for 2014 to 2017, 2018 to 2019 and 2020 to 2023 separately.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For further information, please refer to [note 7] and the 'Important_data_changes' worksheet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please note, data for 'current e-cigarette users' and 'never vaped' are comparable across the entire time series. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics – Opinions and Lifestyle Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enquiries about these data can be sent by email to: Health.Data@ons.gov.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to table of contents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1a: 2020 [note 5] to 2023 [note 6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Proportion of population aged 16 years and over by e-cigarette use [note 1],"Men 
aged 
16 to 24","Men 
aged 
25 to 34","Men 
aged 
35 to 49","Men 
aged 
50 to 59","Men 
aged 
60 and over","Men 
aged 
16 and over","Women 
aged 
16 to 24","Women 
aged 
25 to 34","Women 
aged 
35 to 49","Women 
aged 
50 to 59","Women 
aged 
60 and over","Women 
aged 
16 and over","All persons 
aged 
16 to 24","All persons 
aged 
25 to 34","All persons 
aged 
35 to 49","All persons 
aged 
50 to 59","All persons 
aged 
60 and over","All persons 
aged 
16 and over",,,,,,,,,,,,,,,,,,,,,,,
2023,Daily user (%),5.0,11.1,8.8,8.2,3.3,6.9,7.6,5.7,5.2,5.7,2.7,4.8,6.2,8.4,6.9,7.0,3.0,5.8,,,,,,,,,,,,,,,,,,,,,,,
2023,Occasional user (%),9.1,4.5,4.3,4.1,1.5,4.1,8.5,4.2,3.5,2.7,1.6,3.5,8.8,4.4,3.9,3.4,1.6,3.8,,,,,,,,,,,,,,,,,,,,,,,
2023,Used one previously (%),6.2,12.7,8.0,6.5,3.5,7.0,8.0,7.3,7.6,4.8,2.6,5.5,7.1,10.0,7.8,5.7,3.1,6.2,,,,,,,,,,,,,,,,,,,,,,,
2023,Never used (%),79.7,71.7,78.9,81.2,91.6,82.0,76.0,82.7,83.7,86.8,93.0,86.2,77.9,77.2,81.5,83.9,92.4,84.1,,,,,,,,,,,,,,,,,,,,,,,
2023,Weighted base (in thousands),"2,866","3,819","5,017","3,747","6,676","22,125","2,651","3,853","5,520","3,535","7,590","23,149","5,517","7,672","10,537","7,281","14,266","45,274",,,,,,,,,,,,,,,,,,,,,,,
2023,Unweighted sample,365,533,926,"1,033","5,114","7,971",424,795,"1,481","1,172","5,552","9,424",789,"1,328","2,407","2,205","10,666","17,395",,,,,,,,,,,,,,,,,,,,,,,
2022,Daily user (%),3.8,6.7,8.2,6.7,3.6,5.7,6.6,6.2,4.8,5.0,2.0,4.4,5.2,6.5,6.5,5.9,2.8,5,,,,,,,,,,,,,,,,,,,,,,,
2022,Occasional user (%),8.5,4.4,3.2,2.6,1.4,3.5,12.0,2.9,2.7,2.3,1.4,3.4,10.2,3.6,3.0,2.4,1.4,3.4,,,,,,,,,,,,,,,,,,,,,,,
2022,Used one previously (%),7.6,10.9,10.7,8.5,3.9,7.9,4.8,6.4,4.3,5.8,2.4,4.3,6.3,8.7,7.4,7.2,3.1,6,,,,,,,,,,,,,,,,,,,,,,,
2022,Never used (%),80.1,78.0,77.9,82.3,91.1,82.9,76.6,84.5,88.2,86.8,94.2,88.0,78.4,81.2,83.2,84.6,92.8,85.5,,,,,,,,,,,,,,,,,,,,,,,
2022,Weighted base (in thousands),"3,111","3,622","5,141","3,606","6,642","22,122","2,898","3,561","5,341","3,687","7,676","23,163","6,009","7,182","10,482","7,293","14,319","45,285",,,,,,,,,,,,,,,,,,,,,,,
